file_path,character,source,duration_sec,quality_score,emotion_tag,style_tag,delivery_tags,transcript,keep_flag
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_001.wav,character_b_segments,jeff_prepared_seg_001,10.0,,unknown,neutral,"filler_heavy,rambling,restart","Uh, I can't wait to bring my, my black daughter,",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_002.wav,character_b_segments,jeff_prepared_seg_002,3.1105,,unknown,neutral,"clipped,filler_heavy,short_burst","It's interesting, uh, I don't know why I'm on",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_003.wav,character_b_segments,jeff_prepared_seg_003,10.0,,unknown,neutral,rambling,"a dinosaur, and perhaps get a piece of",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_004.wav,character_b_segments,jeff_prepared_seg_004,7.8799,,unknown,neutral,"counting,filler_heavy,pause_heavy,question_rise,rambling","of pussy from one of the dinosaurs, yes? It's uh, I don't know why I'm on this trip. Uh, my, I'm a professor of dinosaur sexuality, and they brought me along to see if I could create some lingerie. Has anyone seen my black daughter? They Let's 1, 2, 3, 4, 5,",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_005.wav,character_b_segments,jeff_prepared_seg_005,6.9847,,unknown,neutral,"counting,filler_heavy,pause_heavy,rambling","8, 9, 10, 11, 9, 10, 11, dino. maybe try cushydreams.com, maybe",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_006.wav,character_b_segments,jeff_prepared_seg_006,10.0,,unknown,neutral,"filler_heavy,rambling","try, if you like having sex, cushydream, you'll love having sex with cushydream. I'll tell you what, it's one of the few websites you can load up",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_007.wav,character_b_segments,jeff_prepared_seg_007,10.0,,unknown,neutral,"filler_heavy,pause_heavy,rambling","up and just put the computer right up right into your ass and type on the computer. with your ass muscles. Think, dance, play,",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_008.wav,character_b_segments,jeff_prepared_seg_008,10.0,,unknown,neutral,"filler_heavy,rambling,restart","you can put the computer in your new iMac, you can load it on, you can pull up, this is really cool, they got gay pornography on it, and you can look at it, you can pull out",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_009.wav,character_b_segments,jeff_prepared_seg_009,10.0,,unknown,neutral,"filler_heavy,rambling","out your cock, I don't know, I've got cheesy ideas, you can pull out your cock, beat off in front of all of your friends, the entire computer will fit in your ass. Oh, take off your pants, sit down on",True
C:\dev\aro-voice-style-lab\data\processed\character_b_segments\jeff_prepared_seg_010.wav,character_b_segments,jeff_prepared_seg_010,8.2409,,unknown,neutral,"pause_heavy,rambling","on the top of the computer, and keep pushing until it's inside your body. I like my penis getting sucked. By a computer,",True
